County,Date,Cases,Deaths,countyfp,Dem_RUCA,Dem_Desc,edr,planning.region,total.pop
Yellow Medicine,5/4/2020,3,0,173,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest,9930
Aitkin,5/5/2020,1,0,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast,15841
Anoka,5/5/2020,344,20,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,344861
Becker,5/5/2020,15,0,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest,33552
Beltrami,5/5/2020,6,0,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest,45847
Benton,5/5/2020,48,1,009,C,Urban/town/rural mix,EDR 7W- Central,Central,39360
Big Stone,5/5/2020,2,0,011,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest,5039
Blue Earth,5/5/2020,51,0,013,D,Entirely urban,EDR 9 - South Central,Southwest,65767
Brown,5/5/2020,9,1,015,B,Town/rural mix,EDR 9 - South Central,Southwest,25243
Carlton,5/5/2020,60,0,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,35408
Carver,5/5/2020,39,0,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,98799
Cass,5/5/2020,7,0,021,B,Town/rural mix,EDR 5 - North Central,Northwest,28810
